Prompt,Response,Label
எழுத்துக்களின் பொதுப் பிறப்பு முறை,"

1. எழுத்துக்கள் பொதுவாகப் பிறக்குமாறு

83        உந்தி முதலா முந்துவளி தோன்றித்
தலையினும் மிடற்றினும் நெஞ்சினும் நிலைஇப்
பல்லும் இதழும் நாவும் மூக்கும்
அண்ணமும்1 உளப்பட எண்முறை நிலையான்
உறுப்புற் றமைய நெறிப்பட நாடி
எல்லா வெழுத்துஞ் சொல்லுங் காலைப்
பிறப்பின் ஆக்கம் வேறுவே றியல.
திறப்படத் தெரியுங் காட்சி யான.
இத் தலைச்சூத்திரம் என் நுதலிற்றோ வெனின், எழுத்துக்களது பொதுப் பிறப்பு உணர்த்துதல் நுதலிற்று.

எல்லா எழுத்தும் நெறிப்பட நாடி சொல்லும் காலை-தமிழெழுத்துக்க ளெல்லாம் ஒருவன் முறைப்பட ஆராய்ந்து தம்மைச் சொல்லுங்காலத்து, உந்தி முதலா முந்துவளி தோன்றி-கொப்பூழ் அடியாக மேலே கிளர்கின்ற உதானன்2 என்னும் பெயரையுடைய வாயுத் தோன்றி, தலையினும் மிடற்றினும் நெஞ்சினும் நிலைஇ - தலையின்கண்ணும் மிடற்றின்கண்ணும் நெஞ்சின்கண்ணும் நிலைபெற்று. பல்லும் இதழும் நாவும் மூக்கும் அண்ணமும் உளப்பட எண்முறை நிலையான் உறுப்பு உற்று அமைய - (தலையும் மிடறும் நெஞ்சும் என்னும் மூன்றனோடும்) பல்லும் இதழும் நாவும் மூக்கும் அண்ணமும் உளப்பட எட்டாகிய முறைமையையுடைய இடங்களில் ஓர் உறுப்போடு ஓர் உறுப்புத்தம்மிற் பொருந்தி அமைதி பெற, பிறப்பின் ஆக்கம் வேறு வேறு இயல-பிறப்பினது ஆக்கம் வேறு வேறு புலப்பட்டு வழங்குதலுடைய, திறப்படத் தெரியும் காட்சியான - கூறுபாடுள்ளதாக ஆராயும் அறிவிடத்து.

இதழ்போறலான் வாய் இதழெனப்பட்டது. எல்லா எழுத்தும் என்னும் எழுவாய்க்குப் ` பிறப்பினாக்கம் வேறுவேறு இயல ' என்பதனை ஒரு சொன்னீர்மைப்படுத்திப் பயனிலை யாக்குக.

1. எழுத்தைப் பிறப்பித்தற்கு இடமும் உறுப்பும் என இரண்டு வேண்டும். எழுத்தின் இனத் தன்மையைத் தோற்றும் நெஞ்சு தொண்டை முதலியவை இடம்; தனித்தனி எழுத்தைத் தோற்றும் நா பல் முதலியவை உறுப்பு. மூக்கைத் தொல்காப்பியர் உறுப்பென்றார்; நன்னூலார் இடமென்றார். இருவரும் தலையை ஓர் இடமாகக் கொண்டனர். இஃது உடல் நூலுக்கும் ஒலி நூலுக்கும் பொருந்துவதாய்த் தோன்றவில்லை. (பாவாணர்)

2. உதானன் - ஒலிக்காற்று.",
உயிரெழுத்துப் பிறப்பு,"2. உயிரெழுத்துக்கள் பிறக்குமாறு
எல்லா உயிர்களும் பொதுவாகப் பிறக்கும் வகை

84	அவ்வழிப்
பன்னீ ருயிரும் தந்நிலை திரியா
மிடற்றுப் பிறந்த வளியின் இசைக்கும்.
இஃது, உயிரெழுத்திற்குப் பொதுப்பிறப்பு உணர்த்துதல் நுதலிற்று.

அ வழி - அவ்விடத்து, பன்னீர் உயிரும் தம் நிலை திரியா-பன்னிரண்டு உயிரெழுத்தும் தத்தம் நிலையில்திரியாவாய், மிடற்றுப் பிறந்த வளியின் இசைக்கும் - மிடற்றின்கட் பிறந்த வளியான் ஒலிக்கும்.

'தந்நிலை திரியா' என்றதனால், குற்றியலுகரம், குற்றியலிகரம் தந்நிலை திரியுமென்பது பெறப்பட்டது.",
"அ, ஆ பிறப்பு","2. உயிரெழுத்துக்கள் பிறக்குமாறு
அ, ஆ பிறக்குமாறு

85	அவற்றுள்
அ ஆ ஆயிரண் டங்காந் தியலும்.
இஃது, உயிரெழுத்துக்களுட்- சிலவற்றிற்குச் சிறப்புப் பிறவி உணர்த்துதல் நுதலிற்று.

அவற்றுள் - மேற்சொல்லப்பட்ட உயிர் பன்னிரண்டின்னுள், அ ஆ அஇரண்டு அங்காந்து இயலும் - அகர ஆகாரங் களாகிய அவ்விரண்டும் அங்காந்து சொல்ல அஃது இடமாகப்பிறக்கும்.1

(3)
1.முயற்சி உயிரக்கிழவன் கண்ணது. (நச்)",
இகரம் முதலியன பிறக்கும் முறை,"2. உயிரெழுத்துக்கள் பிறக்குமாறு
இகரம் முதலியன பிறக்குமாறு

86	இ ஈ எ ஏ ஐயென இசைக்கும்
அப்பால் ஐந்தும் அவற்றோ ரன்ன;
அவை தாம்
அண்பல் முதல்நா விளிம்புறல் உடைய.
இதுவும் அது.

இ ஈ எ ஏ ஐ என இசைக்கும் அ பால் ஐந்தும்-இ ஈ எ ஏ ஐ என்று சொல்லப்படும் அக் கூற்று ஐந்தும், அவற்று ஒர் அன்ன - மேற்கூறிய அகர ஆகாரங்கள் போல அங்காந்து சொல்லப் பிறக்கும், அவைதாம் பல் அண் நாமுதல் விளிம்பு உறல் உடைய - அவைதாம் (அவ்வாறு சொல்லப் பிறக்குமிடத்துப்) பல்லினது அணிய இடத்தினை நாவினது அடியின் விளிம்பு சென்று உறுதலை யுடைய.

(4)",
உகரம் முதலியன பிறக்கும் முறை,"2. உயிரெழுத்துக்கள் பிறக்குமாறு
உகரம் முதலிய பிறக்குமாறு

87	உ ஊ ஒ ஓ ஒள என இசைக்கும்
அப்பால் ஐந்தும் இதழ்குவிந் தியலும்.
இதுவும் அது.

உ ஊ ஒ ஓ ஒள என இசைக்கும் அ பால் ஐந்தும் - உ ஊ ஒ ஓ ஒள எனச் சொல்ல இசைக்கும் அக் கூற்று ஐந்தும், இதழ் குவிந்து இயலும் - இதழ் குவித்துச் சொல்ல நடக்கும்.

(5)",
உயிர்க்கும் மெய்க்கும் ஒரு பொதுவிதி,"2. உயிரெழுத்துக்கள் பிறக்குமாறு
உயிர்க்கும் மெய்க்கும் ஒரு பொதுவிதி

88	தத்தந் திரிபே சிறிய வென்ப.
இஃது, முன் கூறிய உயிர்க்கும் மேற்கூறும் மெய்க்கும் ஓர் புறனடை கூறுதல் நுதலிற்று.

தம்தம் திரிபு சிறிய என்ப - (எழுத்துக்கள் ஒரு தானத்துக் கூடிப் பிறக்கு மெனப்பட்டன; அவ்வாறு கூடிப்பிறப்பினும்) தத்தம் வேறுபாடுகளைச் சிறிய வேறுபாடுகளென்று சொல்லுவர்.

அவ் வேறுபாடு அறிந்துகொள்க.1

(6)
1.அவை எடுத்தல், படுத்தல், நலிதல், விலங்கல் என்றவாற்றானும் தலைவளி2 நெஞ்சுவளி, மிடற்றுவளி, மூக்குவளி என்றவாற்றானும் பிறவாற்றானும் வேறுபடுமாறு நுண்ணுணர்வுடையோர் கூறி உணர்க. ஐ விலங்கலுடையது3 வல்லினம் தலைவளி யுடையது. 4மெல்லினம் மூக்குவளி யுடையது. இடையினம் மிடற்றுவளி யுடையது, ஏனையவுங் கூறிக் கண்டு உணர்க. (நச்)

2. தலைவளி எழுத்திற்குப் பயன்படுவதாய்த் தெரியவில்லை.

3. விலங்கல் - நலிதலை அடுத்த படுத்தல் ஒலிகளைச் சேர்த்துக் கூறும் போது உள்ள ஒசை.

4. வல்லினம் நெஞ்சுவளி யுடையதென்பதே பொருத்தமானது. (பாவாணர்.)",
"க, ங மெய்யெழுத்துக்கள் பிறக்குமாறு","2. உயிரெழுத்துக்கள் பிறக்குமாறு
மெய்யெழுத்துக்கள் பிறக்குமாறு
க, ங

89	ககார ஙகாரம் முதல்நா அண்ணம்.
இஃது, மெய்களுட் சிலவற்றிற்குப் பிறவி ஆமாறு உணர்த்துதல் நுதலிற்று.

ககாரம் ஙகாரம் நாமுதல் அண்ணம் (முதல் ) - ககாரமும் ஙகாரமும், நாமுதலும் அண்ணமுதலும் உறப்பிறக்கும்.1

(7)
1.உயிர்மெய்யாகச் சூத்திரத்துக் கூறினும் தனிமெய்யாகக் கூறிக் காண்க. முதலை இரண்டிற்கும் கூட்டுக. ( நச் )",
"ச, ஞ மெய்யெழுத்துக்கள் பிறக்குமாறு","மெய்யெழுத்துக்கள் பிறக்குமாறு
ச, ஞ

90	சகார ஞகாரம் இடைநா அண்ணம்.
இதுவும் அது.

சகாரம் ஞகாரம் நாஇடை அண்ணம் ( இடை) - சகாரமும் ஞகாரமும் நாவது இடையும் அண்ணத்தது இடையும் உறப் பிறக்கும்.

(8)",
"ட, ண மெய்யெழுத்துக்கள் பிறக்குமாறு","மெய்யெழுத்துக்கள் பிறக்குமாறு
ட, ண

91	டகார ணகாரம் நுனிநா அண்ணம்.
இதுவும் அது.

டகாரம் ணகாரம் நாநுனி அண்ணம் ( நுனி ) - டகாரமும் ணகாரமும் நாவது நுனியும் அண்ணத்தது நுனியும் உறப் பிறக்கும்.

(9)",
மூவகைப் பிறப்பு,"மேலனவற்றிற்கு ஓர் ஐயந் தீர்த்தது

92	அவ்வா றெழுத்தும் மூவகைப் பிறப்பின.
இஃது, மேலனவற்றிற்கு ஓர் புறனடை1 உணர்த்துதல் நுதலிற்று.

அ ஆறு எழுத்தும் மூவகை பிறப்பின - மேற்கூறப் பட்ட ஆறு எழுத்தும் நிரனிரைவகையான் ( அறுவகைப் பிறப்பின அல்ல. ) மூவகைப் பிறப்பின.

(10)
1. ஐயம் அகற்றியது.(நச்)",
"த, ந மெய்யெழுத்துக்கள் பிறக்குமாறு","மேலனவற்றிற்கு ஒர் ஐயந் தீர்த்தது
த,ந

93	அண்ணம் நண்ணிய பல்முதல் மருங்கின்
நாநுனி பரந்து மெய்யுற வொற்றத்
தாமினிது பிறக்குந் தகார நகாரம்.
இதுவும் மெய்களிற் சிலவற்றிற்குப் பிறப்பு உணர்த்துதல் நுதலிற்று.

அண்ணம் நண்ணிய பல் முதல் மருங்கின் - அண்ணத்தைப் பொருந்திய பல்லினது அணிய1 இடத்தின் கண்ணே, நாநுனி பரந்து மெய் உற ஒற்ற - நாவினது நுனி பரந்து வடிவை உறும்படி ஒற்ற, தாம் இனிது பிறக்கும் - தாம் இனிதாகப் பிறக்கும், தகாரம் நகாரம் - தகாரமும் நகாரமும்.

முன்னே ` உறுப்புற்றமைய ' என்று வைத்துப் பின்னும் மெய்யுற2 என்றதனான். எல்லா எழுத்துக்களும் மெய்யுற்ற என்றதனான், எல்லா எழுத்துக்களும் மெய்யுற்றபோதே இனிது பிறப்பதென்பது கொள்க.

(11)
1. அடியாகிய இடத்தே. (நச்)

2. த ந என இவற்றின் வேறுபாடு உணர்க. முன்னர் உறுப்புற்று அமைய என்று கூறி ஈண்டு மெய்யுற ஒற்ற என்றார். சிறிது ஒற்றவும் வருடவும் பிறப்பன உளவாகலின். (நச்)

சிறிது ஒற்றப் பிறப்பன லகார னகாரங்கள்; சிறிது வருடப் பிறப்பன ரகார ழகாரங்கள். ( பாவாணர் )",
"ற, ன மெய்யெழுத்துக்கள் பிறக்குமாறு","ற, ன

94	அணரி நுனிநா அண்ணம் ஒற்ற
றஃகான் னஃகான் ஆயிரண்டும் பிறக்கும்.
இதுவும் அது.

அணரி1 நுனிநா அண்ணம் ஒற்ற-அணர்ந்து நுனிநா அண்ணத்தைச் சென்று ஒற்ற, றஃகான் னஃகான் அ இரண்டும் பிறக்கும்-றகார னகாரமாகிய அவ்விரண்டும் பிறக்கும்.

இங்கு நின்றும் நெடுங்கணக்கு முறைமை விட்டும் நா 2அதிகாரம் பட்டது கண்டு கூறுகின்ற தெனவுணர்க.

(12)
1. அணரி-மேனோக்கிச் சென்று.

2. நாவினால் ஏற்பட்ட முறைமை. (பாவாணர்)",
"ர, ழ மெய்யெழுத்துக்கள் பிறக்குமாறு","ர, ழ

95	நுனிநா அணரி அண்ணம் வருட
ரகார ழகாரம் ஆயிரண்டும் பிறக்கும்.
இதுவும் அது.

நுனிநா அணரி அண்ணம் வருட - நுனிநா அணர்ந்து அண்ணத்தைத் தடவ, ரகார ழகாரம் அ இரண்டும் பிறக்கும்-ரகார ழகாரமாகிய அவ்விரண்டும் பிறக்கும்.

(13)",
"ல, ள மெய்யெழுத்துக்கள் பிறக்குமாறு","ல, ள

96	நாவிளிம்பு வீங்கி யண்பல் முதலுற
ஆவயின் அண்ணம் ஒற்றவும் வருடவும்
லகார ளகாரம் ஆயிரண்டும் பிறக்கும்.
இதுவும் அது.

நா விளிம்பு வீங்கி பல் அண் முதல் உற - நாவினது விளிம்பு தடித்துப் பல்லினது அணிய இடத்தைப் பொருந்த, அ வயின் அண்ணம் ஒற்ற லகாரமும் வருட ளகாரமும் அ இரண்டும் பிறக்கும் - அவ்விடத்து (முதல்நா) அவ்வண்ணத்தை ஒற்ற லகாரமும் அதனைத் தடவ ளகாரமுமாக அவ்விரண்டும் பிறக்கும்.

(14)",
"ப, ம மெய்யெழுத்துக்கள் பிறக்குமாறு","ப, ம

97	இதழியைந்து பிறக்கும் பகார மகாரம்.
இதுவும் அது.

இதழ் இயைந்து பிறக்கும் பகாரம் மகாரம் - கீழ் இதழும் மேல் இதழும் தம்மில் இயையப் பிறக்கும் பகாரமும் மகாரமும்.

(15)",
வ மெய்யெழுத்து பிறக்குமாறு,"வ

98	பல்லிதழ் இயைய வகாரம் பிறக்கும்.
இதுவும் அது.

பல் இதழ் இயைய வகாரம் பிறக்கும் -மேற்பல்லும் கீழ் இதழும் தம்மில் இயைய வகாரம் பிறக்கும்.1

(16)
1.வ என வரும் இதற்கும் இதழ் இயைதலின் மகரத்தின் பின்னர் வைத்தார். (நச்)",
ய மெய்யெழுத்து பிறக்குமாறு,"ய

99	அண்ணஞ் சேர்ந்த மிடற்றெழு வளியிசை1
கண்ணுற் றடைய யகாரம் பிறக்கும்.
இதுவும் அது.

அண்ணம் சேர்ந்த மிடற்று எழு வளி இசை கண் உற்று அடைய யகாரம் பிறக்கும் - அண்ணத்தை நாச் சேர்ந்த விடத்து மிடற்றினின்றும் எழும் வளியானாய இசை அவ்வண்ணத்தை அணைந்து செறிய யகாரம் பிறக்கும்.

(17)
1. உந்தியிலெழுந்த காற்று மிடற்றிடத்துச் சேர்ந்த அதனாற் பிறந்த ஓசை அண்ணத்தை அணைந்து உரலாணி2 இட்டாற் போலச் செறிய யகார வொற்றுப் பிறக்கும். (நச்)

2.உரலாணி உரற்குழி பள்ளமாகியாகி அடியில் துளை விழுந்த பின் அதை அடைக்கும்படி செறிக்கும் மரத்துண்டு. (பாவாணர்.)",
மெல்லின மெய்களுள் பிறப்புக்கு ஒரு சிறப்பு விதி,"மெல்லின மெய்களுள் பிறப்புக்கு ஒரு சிறப்பு விதி

100	மெல்லெழுத் தாறும் பிறப்பின் ஆக்கஞ்
சொல்லிய பள்ளி நிலையின வாயினும்
மூக்கின் வளியிசை யாப்புறத் தோன்றும்.
இஃது, மெல்லெழுத்திற்கு ஓர் புறனடை கூறுதல் நுதலிற்று.

மெல்லெழுத்து ஆறும் பிறப்பின் ஆக்கம் சொல்லிய பள்ளி நிலையின ஆயினும்- மெல்லெழுத்துக்களாறும் தத்தம் பிறப்பினது ஆக்கம் மேற்சொல்லப்பட்ட இடத்தே நிலை பெற்றனவாயினும், மூக்கின் வளி இசை யாப்புற தோன்றும்-அவை மூக்கின்கண்ணுளதாகிய வளியது இசையான் யாப்புறத் தோன்றும்.

'யாப்புற' என்றதனான் , இடையெழுத்திற்கு மிடற்றுவளியும் வல்லெழுத்திற்குத் தலைவளியும் கொள்க.

(18)
",
சார்பெழுத்துக்கள் பிறக்குமாறு,"3. சார்பெழுத்துக்கள் பிறக்குமாறு
101	சார்ந்துவரி னல்லது தமக்கியல் பிலவெனத்
தேர்ந்துவெளிப் படுத்த ஏனை மூன்றும்
தத்தஞ் சார்பிற் பிறப்பொடு சிவணி
ஒத்த காட்சியின் தம்மியல் பியலும்.
இஃது, சார்பிற்றோற்றத் தெழுத்திற்குப் பிறப்பு உணர்த்துதல் நுதலிற்று.

சார்ந்துவரின் அல்லது தமக்கு இயல்பு இல என தேர்ந்து வெளிப்படுத்த ஏனை மூன்றும்-சிலவற்றைச் சார்ந்துவரின் அல்லது தமக்குத் தாமே வரும் இயல்பு இலவென்று ஆராய்ந்து வெளிப்படுத்தப்பட்ட ஒழிந்த மூன்றும், தம்தம் சார்பின் பிறப்போடு சிவணி ஒத்த காட்சியில் தம் இயல்பு இயலும்- தத்தமக்குச் சார்பாகிய எழுத்துக்களது பிறப்பிடத்தே பிறத்தலொடு பொருந்தி அவ்விடத்தே தமக்குரிய இயல்பில் நடக்கும்.

'ஒத்தகாட்சி' என்றதனான், ஆய்தத்திற்குக் குற்றெழுத்துச் சார்பேயெனினும் தளை வளியாற் பிறத்தலின், உயிரொடு புணர்ந்த வல்லெழுத்துச் சார்பாகவே பிறக்குமென்பது கொள்க. `தம்மியல்பியலும்' என்றதனான், அளபெடையும் உயிர்மெய்யும் தமக்கு அடியாகிய எழுத்துக்களது பிறப்பிடமே இடமாக வருமென்பது கொள்க.

(19)
",
எழுத்துக்களின் பிறப்புக்குப் புறனடை,"4. எழுத்துக்களின் பிறப்புக்குப் புறனடை
102	1எல்லா வெழுத்தும் வெளிப்படக் கிளந்து
சொல்லிய பள்ளி யெழுதரு வளியின்
பிறப்பொடு விடுவழி உறழ்ச்சி வாரத்
தகத்தெழு வளியிசை யரில்தப நாடி
அளபிற் கோடல் அந்தணர் மறைத்தே.
இஃது, எல்லா எழுத்திற்கும் ஆவதோர் புறனடை உணர்த்துதல் நுதலிற்று.

எல்லா எழுத்தும் - எல்லா எழுத்துக்களும், வெளிப்பட கிளந்து சொல்லிய பள்ளி- வெளிப்பட விதந்து சொல்லப்பட்ட இடத்தின்கண்ணே, எழுதரு வளியின் - எழுகின்ற வளியானே, பிறப்பொடு விடுவழி - தாம் பிறக்குந் தொழிலுடையவாதலொடு தம்மைச் சொல்லும் இடத்து, உறழ்ச்சி வாரத்து அகத்து எழுவளி இசை - திரிதருங் கூற்றையுடைய உண்ணின்று எழும் வளியானாய இசையை, அரில் தப நாடி-பிணக்கமற ஆராய்ந்து, அளபின் கோடல் - மாத்திரை வரையறையாற் கோடல், அந்தணர் மறைத்து - பார்ப்பார் வேதத்துக் கண்ணது.

உறழ்ச்சி வாரம் என்றது, உந்திமுதலா எழும் வளி தலைகாறும் சென்று மீண்டும் நெஞ்சின்கண் நிலைபெறுதலை எனக்கொள்க. வளி என்னாது வளியிசை என்றது, அவ்வாறு நெஞ்சின்கண் நிலைபெறும் அளபும் வளி எனப்படுவது பின்னை நெஞ்சினின்றும் எழுவுழியெல்லாம் வளித்தன்மை திரிந்து எழுத்தாம் தன்மையதாம் என்பது விளக்கி நின்றது.

(20)
1.எல்லா எழுத்து முதலிய இரண்டு சூத்திரமும் எழுத்துக்கள் தம் பிறப்பிற்குப் புறனடை யுணர்த்திற்றென்று ஒரு சூத்திரமாகக் கொண்டார். (நச்.)",
பிறப்பியலில் எழுத்தொலி பிறக்கும் முறை,"எழுத்தைப் பற்றிக் கூறும் பகுதி ஒன்பது தலைப்புகளில் அமைந்துள்ளது. தொன்றுதொட்டு வழக்கத்தில் உள்ள ஒலி, உரு எழுத்துக்களைப் பற்றிக் கூறுவது நூன்மரபு. சொல்லில் அது அமையும் மரபினை விளக்குவது மொழிமரபு. இங்கு நாம் எடுத்துக்கொண்டுள்ள பகுதி மூன்றாம், நான்காம் இயல்களாக அமைந்துள்ளன.

பிறப்பியலில் எழுத்தொலி பிறக்கும் பாங்கு கூறப்படுகிறது. இது எழுத்தொலிக்கு உதவும் உறுப்புகள், உயிர் எழுத்துக்கள் பிறத்தல், க ங \ ச ஞ \ ட ண பிறத்தல், த ந \ ற ன \ ர ழ \ ல ள பிறத்தல், ப ம வ ய பிறத்தல், மெல்லெழுத்து பிறத்தல், சார்பெழுத்துக்கள் பிறத்தல், பொதுக் குறிப்பு என்னும் பாங்கில் அமைந்துள்ளது. இளம்பூரணர் உரையில் இது 21 நூற்பாக்களைக் கொண்டது.",
தொல்காப்பியர் கூறும் பிறப்பியல் பற்றி விவரி,"பிறப்பியல்

எழுத்தொலி பிறக்கும் இயல்பினைக் கூறுவது பிறப்பியல். இன்றைக்கு 2500 ஆண்டுகளுக்கு முன்னர் தமிழிலுள்ள ஒவ்வொரு எழுத்தொலியும் எந்தெந்த உறுப்புகள் எப்படி இயங்கும்போது பிறக்கும் என்று அறிவியல் நோக்கில் ஆய்தறிந்து சொன்னவர் தொல்காப்பியர். அந்தக் காலக் கட்டத்தில் பிற மொழிகள் கண்டிராத மொழி அறிவியல் படைப்பு இது.

அன்று அவர் கூறிய இந்த ஒலிப்பிறப்பு இன்றளவும் பேச்சு வழக்கில் மாறாமல் இருந்துவருகிறது.

நுரையீரலுக்கு அடியில் காற்றை உந்தும் உந்தியிலிருந்து காற்று தோன்றும். தலை, மிடறு, நெஞ்சு பகுதிகளில் நிலைகொண்டு வெளிப்படும். பல், இதழ், நாக்கு, மூக்கு, அண்ணம் ஆகிய உறுப்புகளில் மோதும். நிலை கொள்ளும் இடம் 3. மோதும் இடம் 5. ஆக 8 உறுப்புகள் ஒலிக்குப் பயன்படும். இவற்றின் வெவ்வேறு செயல்பாடுகளால் வெவ்வேறு எழுத்துக்கள் பிறக்கும் – என்று தொல்காப்பியம் கூறுகிறது.

உயிரெழுத்துக்கள் பிறத்தல்

அந்த வழியில் 12 உயிர் எழுத்துக்களும் தொண்டையில் காற்று வரும்போது மிடற்றுக் குழாயில் பிறந்து இசைக்கும்.

அவ் வழி,
பன்னீர் உயிரும் தம் நிலை திரியா
மிடற்றுப் பிறந்த வளியின் இசைக்கும். – என்பது தொல்காப்பிய நூற்பா.


12 உயிர்களில் அ ஆ என்னும் இரண்டு உயிர்களும் வாய் திறக்கும் அங்காப்பில் பிறக்கும். 
இ ஈ எ ஏ ஐ என்னும் ஐந்து எழுத்துக்களும் ஒரு தன்மையவை. நாக்கின் விளிம்புகள் பற்கள் ஒட்டிக்கொண்டிருக்கும் அண்பல்லைப் பொருந்துவதால் பிறக்கும்.  
உ ஊ ஒ ஓ ஔ – என்னும் ஐந்து எழுத்துக்களும் இதழ் குவிவதால் பிறக்கும்.
ஒவ்வொரு எழுத்துக்கும் இந்த இயக்கங்களில் சிறிது வேறுபாடு உண்டு.

என்று தொல்காப்பியர் விளக்கிக்கொண்டு செல்கிறார்.

மெய் எழுத்துக்கள்

அண்ணத்தில் பிறக்கும் எழுத்துக்கள்

க ங எழுத்துக்கள் அடிநா அடி-அண்ணம் ஆகியவற்றில் பிறக்கும்.
ச ஞ எழுத்துக்கள் இடைநா இடை-அன்னம் ஆகியவற்றில் பிறக்கும்.
ட ண எழுத்துக்கள் நுனிநா நுனி-அண்ணம் ஆகியவற்றில் பிறக்கும்.
இந்த ஆறு எழுத்துக்களும் மூன்று வகையான பிறப்பினை உடையவை.

இப்படி நெடுங்கணக்கு வரிசையில் முதல் ஆறு எழுத்துக்களாக உள்ள மெய்யெழுத்துக்களின் பிறப்பினை முதலில் விளக்குகிறார்.

பின்னர் எழுத்துக்களை பிறப்பிடம் நோக்கி இணைத்து வரிசைப்படுத்திக்கொண்டு விளக்குகிறார்.

அண்ணம் ஒட்டியிருக்கும் பல்லின் அடியில் நாக்கின் மேல்நுனி விரிந்து ஒற்ற, த ந எழுத்துக்கள் பிறக்கும்.  
அண்ணாந்த நாக்கின் அடி நுனி அண்ணத்தை ஒற்ற, ற ன எழுத்துக்கள் பிறக்கும்.
நுனிநாக்கு அண்ணாந்து அதன் பின்புறம் அண்ணத்தை வருட, ர ழ எழுத்துக்கள் பிறக்கும்.

நுனி நா அணரி அண்ணம் வருட
ரகார ழகாரம் ஆயிரண்டும் பிறக்கும். நூற்பா 13


நாக்கின் பக்க விளிம்புகள் வீங்கி அண்பல்லின் அடிப்பகுதியில் உள்ள அண்ணத்தை ஒற்றினால் ல பிறக்கும்; அண்ணத்தை வருடினால் ள பிறக்கும்.
இதழ்கள் மூடித் திறக்கும்போது வரும் ஒலியில் ப ம எழுத்துக்கள் பிறக்கும்.
பல்லும் இதழும் பொருந்தி வரும் காற்றில் வ பிறக்கும்.
மிடற்றுக் காற்று அண்ணத்தில் அடைந்து வெளிவந்தால் ய பிறக்கும்.

மெல்லின எழுத்துக்கள் மூக்கின் காற்றோடு சேர்ந்து பிறக்கும் என்று சிறப்பு வகையால் அடுத்துக் குறிப்பிடுகிறார்.

மெல்லெழுத்து ஆறும் பிறப்பின் ஆக்கம்
சொல்லிய பள்ளி நிலையின ஆயினும்
மூக்கின் வளி இசை யாப்புறத் தோன்றும். நூற்பா 18

சார்பெழுத்து

குற்றியலிகரம், குற்றியலுகரம், ஆய்தம் என்னும் மூன்று சார்பெழுத்துக்களும் மொழியில் பிற எழுத்துக்களைச் சார்ந்து வருவதல்லது, தனக்கென்று தனி இயல்பு இல்லாதவை ஆதலால், சார்ந்து வரும் எழுத்தோடு கூடி ஒலித்துத் தன் இயல்பைக் காட்டும் என்கிறார்.

இறுதியில் தொல்காப்பியர் மேலும் தரும் செய்திகள் ஆராயத் தக்கவை.
ஒலி நுட்பங்களை அந்தணர் மறையில் தெரிந்துகொள்ளலாம் என்பது ஒரு செய்தி.
தமிழ்மறை ஓதும் அந்தணர் நூல் தொல்காப்பியர் காலத்தில் இருந்தது போலும்.

புறத்தில் தோன்றும் எழுத்தொலி பற்றித் தாம் கூறியிருப்பதாகவும், அகத்தில் தோன்றும் எழுத்தொலியின் பாங்கை உய்த்துணர்ந்து கொள்ள வேண்டும் என்பதும் தொல்காப்பியர் குறிப்பு.
",
